65537246-ML-draw-Duel,103.47,ML,Duel,2.26,3.20,2.88,65537246,One Knoxville SC,Spokane Velocity FC,Football,USA - USL League One
56418341-Spread-home-Duel--0.75,101.96,Spread,Duel,1.84,1.96,,56418341,Sweden,Slovenia,Football,"International - WC Qualification, UEFA"
56418341-ML-home-Duel,103.92,ML,Duel,1.68,5.20,3.75,56418341,Sweden,Slovenia,Football,"International - WC Qualification, UEFA"
63325925-Spread-home-Duel-0.5,102.86,Spread,Duel,1.65,2.04,,63325925,Al Mesaimeer,Al-Khor SC,Football,Qatar - QSL Cup
61098869-Corners Spread-home-Duel--0.5,102.33,Corners Spread,Duel,2.02,1.68,,61098869,CA Belgrano de Cordoba,Union de Santa Fe,Football,Argentina - Liga Profesional
61098885-Corners Spread-home-Duel--1.5,101.69,Corners Spread,Duel,1.92,1.75,,61098885,CA Platense,Gimnasia y Esgrima La Plata,Football,Argentina - Liga Profesional
63325925-ML-home-Duel,123.75,ML,Duel,3.35,1.90,3.65,63325925,Al Mesaimeer,Al-Khor SC,Football,Qatar - QSL Cup
58315587-Team Total Home-home-Duel-1.5,100.68,Team Total Home,Duel,1.84,1.88,,58315587,Criciuma EC SC,Botafogo FC SP,Football,Brazil - Brasileiro Serie B
58315587-Spread-home-Duel--0.75,102.85,Spread,Duel,1.74,2.04,,58315587,Criciuma EC SC,Botafogo FC SP,Football,Brazil - Brasileiro Serie B
56418575-Team Total Home-home-Duel-3.5,111.35,Team Total Home,Duel,2.10,1.70,,56418575,Portugal,Armenia,Football,"International - WC Qualification, UEFA"
61731974-Team Total Home-home-Duel-0.5,136.2,Team Total Home,Duel,2.08,1.65,,61731974,Leixoes SC,GD Chaves,Football,Portugal - Liga Portugal 2
61688116-Spread-away-Duel--1.5,101.43,Spread,Duel,2.12,1.59,,61688116,Sevilla FC,Cdef Logrono,Football,Spain - Primera Division Women
61688116-Totals HT-away-Duel-1.5,101.09,Totals HT,Duel,2.50,1.43,,61688116,Sevilla FC,Cdef Logrono,Football,Spain - Primera Division Women
56418575-Spread-home-Duel--3.25,113.93,Spread,Duel,2.30,1.62,,56418575,Portugal,Armenia,Football,"International - WC Qualification, UEFA"
56418733-Team Total Home-away-Duel-0.5,110.4,Team Total Home,Duel,1.78,1.99,,56418733,Albania,England,Football,"International - WC Qualification, UEFA"
56418733-ML-away-Duel,100.85,ML,Duel,9.60,1.39,4.80,56418733,Albania,England,Football,"International - WC Qualification, UEFA"
56418695-ML-draw-Duel,102.02,ML,Duel,1.73,5.20,3.75,56418695,Wales,North Macedonia,Football,"International - WC Qualification, UEFA"
61300751-Team Total Home-home-Duel-0.5,100.89,Team Total Home,Duel,1.50,2.52,,61300751,Wolverhampton Wanderers,Crystal Palace,Football,England - Premier League
56418695-Totals HT-away-Duel-1.5,101.1,Totals HT,Duel,2.86,1.40,,56418695,Wales,North Macedonia,Football,"International - WC Qualification, UEFA"
56418695-Team Total Home-away-Duel-1.5,105.51,Team Total Home,Duel,1.74,2.04,,56418695,Wales,North Macedonia,Football,"International - WC Qualification, UEFA"
61300753-ML-home-Duel,100.45,ML,Duel,1.58,5.80,4.00,61300753,Aston Villa,Wolverhampton Wanderers,Football,England - Premier League
56418695-Spread-away-Duel--0.75,111.3,Spread,Duel,1.69,2.16,,56418695,Wales,North Macedonia,Football,"International - WC Qualification, UEFA"
65622732-ML-home-Duel,100.43,ML,Duel,1.08,7.80,,65622732,Poland,Romania,Tennis,Federation Cup - Billie Jean King Cup
64055441-ML-home-Duel,100.36,ML,Duel,1.22,11.00,6.40,64055441,Al-Ittihad Club,Al-Riyadh SC,Football,Saudi Arabia - Saudi Pro League
